subjectId,totalItems,diffTotalItems,totalSizes,diffTotalSizes,rating,diffRating,position,diffPosition,diffOrders,diffOrdersSum,ordersPeriodSum,name,isFavorite,orders,ordersSum,loosesPercent,avgSum,loosesSum,orderedCardsCountPercent,groupAOrderedCardsCountPercent
2,0,-3,0,-3,0,0.0,4294967295,7171,0,0,0,Обувь,False,0,0,0.0,0,0,0.0,0.0
7,0,-42,0,-42,0,0.0,4294967295,7034,0,0,4764,Игрушки,False,0,0,,1588,0,4.76,2.38
11,0,-282712,0,-1006537,0,-945764.34,4294967295,9,-1397,-7888147,21556557519,Брюки,False,474871,821137332,37.32,1826,8045587930,53.4,5.94
24,0,-90631,0,-192975,0,-77024.32,4294967295,584,-2191,-647597,371758967,Кольца,False,29468,11617343,21.89,458,81387215,34.14,5.13
27,0,-81790,0,-81790,0,-143810.83,4294967295,259,-117,-254908,134241811,Шкатулки,False,4232,3468907,25.87,920,34731311,6.18,0.71
28,0,-95968,0,-95968,0,-222478.54,4294967295,118,271,141765,148859632,Фоторамки,False,8484,4436002,27.84,619,41444267,10.84,1.52
33,0,-26417,0,-125406,0,-76088.46,4294967295,591,-382,-313479,1073859991,Балетки,False,16745,21575656,47.67,1558,511932139,49.86,8.35
38,0,-101577,0,-315744,0,-442362.4,4294967295,31,-8029,-22481311,7391774618,Юбки,False,160585,237432586,38.11,1693,2817049562,64.73,8.5
41,0,-112222,0,-380433,0,-378190.08,4294967295,42,-4732,-9828780,4903720229,Блузки,False,117686,146008852,37.02,1305,1815272947,52.5,7.73
50,0,-786688,0,-786688,0,-286133.69,4294967295,68,-7518,-16714363,6955891623,Сумки,False,129629,185972406,23.75,1601,1652187641,13.24,1.92
51,0,-125166,0,-198369,0,-189343.0,4294967295,165,-1014,-1485395,652504869,Ремни,False,33430,17207593,23.73,601,154854084,27.05,3.3
52,0,-116608,0,-116608,0,-154817.96,4294967295,229,-648,-525496,440379641,Кошельки,False,16301,11999590,14.55,876,64060429,17.23,2.35
53,0,-20381,0,-20381,0,-43344.21,4294967295,1102,0,11,79911,Зажигалки,False,1,516,9.71,802,7762,0.17,0.07
54,0,-88086,0,-356302,0,-327653.59,4294967295,53,-1236,-3828785,1435071486,Ювелирные кольца,False,17760,45882702,35.22,3359,505432211,35.57,5.26
56,0,-69745,0,-69745,0,-246424.82,4294967295,95,900,1084041,384620265,Платки,False,23005,15248546,21.11,654,81211799,44.64,7.53
57,0,-71479,0,-71479,0,-111271.95,4294967295,364,3886,2587785,317323167,Шарфы,False,27484,22622397,21.9,910,69502618,29.1,4.28
58,0,-28014,0,-28014,0,-57930.69,4294967295,800,804,749381,115545422,Палантины,False,7949,6963635,23.22,958,26824000,35.02,6.91
59,0,-177774,0,-177774,0,-238822.46,4294967295,103,881,-1516328,606750099,Солнцезащитные очки,False,23346,11172443,12.98,717,78758582,33.56,6.23
60,0,-169478,0,-169478,0,-185091.29,4294967295,170,-821,-1391274,636376919,Часы наручные,False,14147,19937326,25.7,1586,163556409,13.75,2.16
